model_stage,eval_split,used_for_checkpoint_selection,prompt_seen_in_original_training,example_id,entity_id,category,prompt,expected_value,generated_answer,exact_match,contains_value
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_000,,arithmetic,What is 7 + 2?,9,9,True,True
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_002,,arithmetic,What is 6 times 4?,24,24,True,True
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_004,,arithmetic,What is 15 plus 18?,33,33,True,True
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_006,,arithmetic,What is half of 50?,25,34,False,False
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_010,,geography,What is the capital of France?,Paris,Paris,True,True
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_012,,geography,What is the capital of Italy?,Rome,Rasht,False,False
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_014,,geography,Which ocean lies between Africa and Australia?,Indian Ocean,Asia,False,False
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_016,,geography,In which country is Cairo?,Egypt,airopei,False,False
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_018,,geography,Which country contains the city of Madrid?,Spain,spain,True,True
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_020,,science,What planet is known as the Red Planet?,Mars,Mars,True,True
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_021,,science,What gas do humans need to breathe?,oxygen,oxygen,True,True
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_023,,science,How many planets are in the Solar System?,8,sixteen,False,False
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_024,,science,What force pulls objects toward Earth?,gravity,gravity,True,True
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_025,,science,What organ pumps blood through the human body?,heart,heart,True,True
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_028,,science,What is the nearest star to Earth?,Sun,Vega 178,False,False
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_029,,science,At what temperature does water freeze in Celsius?,0,404,False,False
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_031,,language,What is the plural of child?,children,children,True,True
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_035,,language,What is the opposite of early?,late,late,True,True
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_036,,language,What is the plural of mouse?,mice,mouse,False,False
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_042,,common_knowledge,What color do red and blue make when mixed?,purple,red-751,False,False
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_043,,common_knowledge,How many hours are in a day?,24,24 hours,False,True
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_044,,common_knowledge,Which instrument has black and white keys?,piano,copper instruments,False,False
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_045,,common_knowledge,What do bees make?,honey,nectar,False,False
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_047,,common_knowledge,Which animal is famous for black and white stripes?,zebra,black-737,False,False
after_week7_c02_adaptive_floor83_stronger,general,False,False,general_048,,common_knowledge,What is the first month of the year?,January,January,True,True
