category,prompt,expected_value,test_set,eval_split,example_id
arithmetic,Calculate 23 + 19.,42,general_replay_v2,replay,replay_v2_000
arithmetic,Calculate 47 - 18.,29,general_replay_v2,replay,replay_v2_001
arithmetic,Calculate 8 times 6.,48,general_replay_v2,replay,replay_v2_002
arithmetic,Calculate 72 divided by 9.,8,general_replay_v2,replay,replay_v2_003
arithmetic,What is half of 84?,42,general_replay_v2,replay,replay_v2_004
arithmetic,What is one quarter of 96?,24,general_replay_v2,replay,replay_v2_005
arithmetic,Calculate 35 + 27.,62,general_replay_v2,replay,replay_v2_006
arithmetic,Calculate 91 - 46.,45,general_replay_v2,replay,replay_v2_007
arithmetic,Calculate 7 times 12.,84,general_replay_v2,replay,replay_v2_008
arithmetic,Calculate 81 divided by 3.,27,general_replay_v2,replay,replay_v2_009
arithmetic,What is 11 squared?,121,general_replay_v2,replay,replay_v2_010
arithmetic,What is 15 percent of 200?,30,general_replay_v2,replay,replay_v2_011
arithmetic,Calculate 125 + 75.,200,general_replay_v2,replay,replay_v2_012
arithmetic,Calculate 150 - 68.,82,general_replay_v2,replay,replay_v2_013
arithmetic,Calculate 14 times 5.,70,general_replay_v2,replay,replay_v2_014
arithmetic,Calculate 132 divided by 11.,12,general_replay_v2,replay,replay_v2_015
arithmetic,What is twice 37?,74,general_replay_v2,replay,replay_v2_016
arithmetic,What is one third of 60?,20,general_replay_v2,replay,replay_v2_017
arithmetic,Calculate 29 + 34.,63,general_replay_v2,replay,replay_v2_018
arithmetic,Calculate 88 - 39.,49,general_replay_v2,replay,replay_v2_019
arithmetic,Calculate 9 times 13.,117,general_replay_v2,replay,replay_v2_020
arithmetic,Calculate 156 divided by 12.,13,general_replay_v2,replay,replay_v2_021
arithmetic,What is 5 cubed?,125,general_replay_v2,replay,replay_v2_022
arithmetic,What is 30 percent of 90?,27,general_replay_v2,replay,replay_v2_023
arithmetic,Calculate 44 + 58.,102,general_replay_v2,replay,replay_v2_024
geography,What is the capital of Germany?,Berlin,general_replay_v2,replay,replay_v2_025
geography,What is the capital of Portugal?,Lisbon,general_replay_v2,replay,replay_v2_026
geography,What is the capital of India?,New Delhi,general_replay_v2,replay,replay_v2_027
geography,What is the capital of Thailand?,Bangkok,general_replay_v2,replay,replay_v2_028
geography,What is the capital of Norway?,Oslo,general_replay_v2,replay,replay_v2_029
geography,What is the capital of Austria?,Vienna,general_replay_v2,replay,replay_v2_030
geography,What is the capital of Greece?,Athens,general_replay_v2,replay,replay_v2_031
geography,What is the capital of Peru?,Lima,general_replay_v2,replay,replay_v2_032
geography,Which continent contains Kenya?,Africa,general_replay_v2,replay,replay_v2_033
geography,Which continent contains Argentina?,South America,general_replay_v2,replay,replay_v2_034
geography,Which continent contains Vietnam?,Asia,general_replay_v2,replay,replay_v2_035
geography,Which continent contains Sweden?,Europe,general_replay_v2,replay,replay_v2_036
geography,Which country contains Amsterdam?,Netherlands,general_replay_v2,replay,replay_v2_037
