category,prompt,expected_value,test_set,eval_split,example_id
arithmetic,Calculate 108 divided by 9.,12,general_knowledge,train,general_train_000
arithmetic,Calculate 11 times 8.,88,general_knowledge,train,general_train_001
arithmetic,Calculate 125 + 75.,200,general_knowledge,train,general_train_002
arithmetic,Calculate 144 divided by 9.,16,general_knowledge,train,general_train_003
arithmetic,Calculate 150 - 68.,82,general_knowledge,train,general_train_004
arithmetic,Calculate 156 divided by 12.,13,general_knowledge,train,general_train_005
arithmetic,Calculate 17 + 48.,65,general_knowledge,train,general_train_006
arithmetic,Calculate 26 + 37.,63,general_knowledge,train,general_train_007
arithmetic,Calculate 29 + 34.,63,general_knowledge,train,general_train_008
arithmetic,Calculate 38 + 24.,62,general_knowledge,train,general_train_009
arithmetic,Calculate 44 + 58.,102,general_knowledge,train,general_train_010
arithmetic,Calculate 63 - 28.,35,general_knowledge,train,general_train_011
arithmetic,Calculate 72 divided by 9.,8,general_knowledge,train,general_train_012
arithmetic,Calculate 81 divided by 3.,27,general_knowledge,train,general_train_013
arithmetic,Calculate 84 - 29.,55,general_knowledge,train,general_train_014
arithmetic,Calculate 88 - 39.,49,general_knowledge,train,general_train_015
arithmetic,Calculate 9 times 13.,117,general_knowledge,train,general_train_016
arithmetic,Calculate 95 - 57.,38,general_knowledge,train,general_train_017
arithmetic,What is 10 percent of 250?,25,general_knowledge,train,general_train_018
arithmetic,What is 11 squared?,121,general_knowledge,train,general_train_019
arithmetic,What is 13 squared?,169,general_knowledge,train,general_train_020
arithmetic,What is 15 percent of 200?,30,general_knowledge,train,general_train_021
arithmetic,What is 30 percent of 90?,27,general_knowledge,train,general_train_022
arithmetic,What is 5 cubed?,125,general_knowledge,train,general_train_023
arithmetic,What is half of 66?,33,general_knowledge,train,general_train_024
arithmetic,What is half of 84?,42,general_knowledge,train,general_train_025
arithmetic,What is half of 94?,47,general_knowledge,train,general_train_026
arithmetic,What is twice 37?,74,general_knowledge,train,general_train_027
common_knowledge,How many fingers are on two human hands?,10,general_knowledge,train,general_train_028
common_knowledge,How many letters are in the English alphabet?,26,general_knowledge,train,general_train_029
common_knowledge,How many sides does a hexagon have?,6,general_knowledge,train,general_train_030
common_knowledge,How many sides does a pentagon have?,5,general_knowledge,train,general_train_031
common_knowledge,How many sides does a square have?,4,general_knowledge,train,general_train_032
common_knowledge,How many wheels does a bicycle have?,2,general_knowledge,train,general_train_033
common_knowledge,What color are emeralds?,green,general_knowledge,train,general_train_034
common_knowledge,What color is a ripe banana?,yellow,general_knowledge,train,general_train_035
common_knowledge,What device is used to tell time?,clock,general_knowledge,train,general_train_036
common_knowledge,What do cows produce for people to drink?,milk,general_knowledge,train,general_train_037
common_knowledge,What do silkworms produce?,silk,general_knowledge,train,general_train_038
common_knowledge,What do you call a young dog?,puppy,general_knowledge,train,general_train_039
common_knowledge,What is a baby horse called?,foal,general_knowledge,train,general_train_040
common_knowledge,What is used to write on a blackboard?,chalk,general_knowledge,train,general_train_041
common_knowledge,What material is commonly used to make windows?,glass,general_knowledge,train,general_train_042
common_knowledge,What tool is used to measure length?,ruler,general_knowledge,train,general_train_043
common_knowledge,What tool is used to tighten a screw?,screwdriver,general_knowledge,train,general_train_044
common_knowledge,Which appliance is used to toast bread?,toaster,general_knowledge,train,general_train_045
common_knowledge,Which appliance keeps food cold?,refrigerator,general_knowledge,train,general_train_046
common_knowledge,Which day comes after Monday?,Tuesday,general_knowledge,train,general_train_047
common_knowledge,Which holiday is celebrated on December 25?,Christmas,general_knowledge,train,general_train_048
common_knowledge,Which month follows June?,July,general_knowledge,train,general_train_049
common_knowledge,Which object is used to unlock a door?,key,general_knowledge,train,general_train_050
common_knowledge,Which room is normally used for cooking?,kitchen,general_knowledge,train,general_train_051
common_knowledge,Which season follows spring?,summer,general_knowledge,train,general_train_052
common_knowledge,Which shape has four equal sides?,square,general_knowledge,train,general_train_053
common_knowledge,Which traffic-light color means go?,green,general_knowledge,train,general_train_054
common_knowledge,Which traffic-light color means stop?,red,general_knowledge,train,general_train_055
geography,What is the capital of Argentina?,Buenos Aires,general_knowledge,train,general_train_056
geography,What is the capital of Belgium?,Brussels,general_knowledge,train,general_train_057
geography,What is the capital of Denmark?,Copenhagen,general_knowledge,train,general_train_058
geography,What is the capital of Germany?,Berlin,general_knowledge,train,general_train_059
geography,What is the capital of Greece?,Athens,general_knowledge,train,general_train_060
geography,What is the capital of Mexico?,Mexico City,general_knowledge,train,general_train_061
geography,What is the capital of Norway?,Oslo,general_knowledge,train,general_train_062
geography,What is the capital of Poland?,Warsaw,general_knowledge,train,general_train_063
geography,What is the capital of Portugal?,Lisbon,general_knowledge,train,general_train_064
geography,What is the capital of Thailand?,Bangkok,general_knowledge,train,general_train_065
geography,What is the largest ocean?,Pacific Ocean,general_knowledge,train,general_train_066
geography,What river flows through Egypt?,Nile,general_knowledge,train,general_train_067
geography,Which continent contains Canada?,North America,general_knowledge,train,general_train_068
geography,Which continent contains Kenya?,Africa,general_knowledge,train,general_train_069
geography,Which continent contains Nepal?,Asia,general_knowledge,train,general_train_070
geography,Which continent contains New Zealand?,Oceania,general_knowledge,train,general_train_071
geography,Which continent contains Sweden?,Europe,general_knowledge,train,general_train_072
geography,Which continent contains Vietnam?,Asia,general_knowledge,train,general_train_073
geography,Which country contains Amsterdam?,Netherlands,general_knowledge,train,general_train_074
geography,Which country contains Budapest?,Hungary,general_knowledge,train,general_train_075
geography,Which country contains Casablanca?,Morocco,general_knowledge,train,general_train_076
geography,Which country contains Dublin?,Ireland,general_knowledge,train,general_train_077
geography,Which country contains Helsinki?,Finland,general_knowledge,train,general_train_078
