category,prompt,expected_value,test_set,eval_split,example_id
arithmetic,What is 7 + 2?,9,general_control,general,general_000
arithmetic,What is 12 minus 5?,7,general_control,general,general_001
arithmetic,What is 6 times 4?,24,general_control,general,general_002
arithmetic,What is 20 divided by 5?,4,general_control,general,general_003
arithmetic,What is 15 plus 18?,33,general_control,general,general_004
arithmetic,What is 9 squared?,81,general_control,general,general_005
arithmetic,What is half of 50?,25,general_control,general,general_006
arithmetic,What is 100 minus 37?,63,general_control,general,general_007
arithmetic,What is 8 times 7?,56,general_control,general,general_008
arithmetic,What is 144 divided by 12?,12,general_control,general,general_009
geography,What is the capital of France?,Paris,general_control,general,general_010
geography,What is the capital of Japan?,Tokyo,general_control,general,general_011
geography,What is the capital of Italy?,Rome,general_control,general,general_012
geography,Which continent is Brazil in?,South America,general_control,general,general_013
geography,Which ocean lies between Africa and Australia?,Indian Ocean,general_control,general,general_014
geography,What is the largest continent?,Asia,general_control,general,general_015
geography,In which country is Cairo?,Egypt,general_control,general,general_016
geography,What is the capital of Canada?,Ottawa,general_control,general,general_017
geography,Which country contains the city of Madrid?,Spain,general_control,general,general_018
geography,What is the capital of Australia?,Canberra,general_control,general,general_019
science,What planet is known as the Red Planet?,Mars,general_control,general,general_020
science,What gas do humans need to breathe?,oxygen,general_control,general,general_021
science,What is H2O commonly called?,water,general_control,general,general_022
science,How many planets are in the Solar System?,8,general_control,general,general_023
science,What force pulls objects toward Earth?,gravity,general_control,general,general_024
science,What organ pumps blood through the human body?,heart,general_control,general,general_025
science,What is the center of an atom called?,nucleus,general_control,general,general_026
science,What gas do plants absorb from the atmosphere?,carbon dioxide,general_control,general,general_027
science,What is the nearest star to Earth?,Sun,general_control,general,general_028
science,At what temperature does water freeze in Celsius?,0,general_control,general,general_029
language,What is the opposite of hot?,cold,general_control,general,general_030
language,What is the plural of child?,children,general_control,general,general_031
language,What is the past tense of go?,went,general_control,general,general_032
language,What is a synonym for large?,big,general_control,general,general_033
language,Complete the phrase: black and ___.,white,general_control,general,general_034
language,What is the opposite of early?,late,general_control,general,general_035
language,What is the plural of mouse?,mice,general_control,general,general_036
language,Which punctuation mark ends a direct question?,question mark,general_control,general,general_037
language,What is the comparative form of good?,better,general_control,general,general_038
language,What is the opposite of empty?,full,general_control,general,general_039
common_knowledge,Who wrote Hamlet?,William Shakespeare,general_control,general,general_040
common_knowledge,How many days are in a week?,7,general_control,general,general_041
common_knowledge,What color do red and blue make when mixed?,purple,general_control,general,general_042
common_knowledge,How many hours are in a day?,24,general_control,general,general_043
common_knowledge,Which instrument has black and white keys?,piano,general_control,general,general_044
common_knowledge,What do bees make?,honey,general_control,general,general_045
common_knowledge,How many months are in a year?,12,general_control,general,general_046
common_knowledge,Which animal is famous for black and white stripes?,zebra,general_control,general,general_047
common_knowledge,What is the first month of the year?,January,general_control,general,general_048
common_knowledge,Which shape has three sides?,triangle,general_control,general,general_049
