model_stage,eval_split,used_for_checkpoint_selection,prompt_seen_in_original_training,example_id,entity_id,category,prompt,expected_value,generated_answer,exact_match,contains_value
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_026,,science,What is the center of an atom called?,nucleus,neutronorado,False,False
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_019,,geography,What is the capital of Australia?,Canberra,Canberra,True,True
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_008,,arithmetic,What is 8 times 7?,56,560,False,False
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_037,,language,Which punctuation mark ends a direct question?,question mark,period,False,False
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_007,,arithmetic,What is 100 minus 37?,63,63,True,True
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_038,,language,What is the comparative form of good?,better,well-educated,False,False
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_040,,common_knowledge,Who wrote Hamlet?,William Shakespeare,Romeo and Juliet,False,False
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_003,,arithmetic,What is 20 divided by 5?,4,4,True,True
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_027,,science,What gas do plants absorb from the atmosphere?,carbon dioxide,carbon-1469,False,False
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_011,,geography,What is the capital of Japan?,Tokyo,Tokyo,True,True
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_017,,geography,What is the capital of Canada?,Ottawa,Ottawa,True,True
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_041,,common_knowledge,How many days are in a week?,7,7,True,True
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_005,,arithmetic,What is 9 squared?,81,81,True,True
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_022,,science,What is H2O commonly called?,water,water,True,True
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_013,,geography,Which continent is Brazil in?,South America,Brazil belongs to the continent of South America,False,True
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_046,,common_knowledge,How many months are in a year?,12,12,True,True
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_009,,arithmetic,What is 144 divided by 12?,12,120,False,False
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_039,,language,What is the opposite of empty?,full,filled,False,False
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_049,,common_knowledge,Which shape has three sides?,triangle,triangular shape,False,False
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_033,,language,What is a synonym for large?,big,small,False,False
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_030,,language,What is the opposite of hot?,cold,cold,True,True
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_015,,geography,What is the largest continent?,Asia,Asia,True,True
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_001,,arithmetic,What is 12 minus 5?,7,7,True,True
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_034,,language,Complete the phrase: black and ___.,white,black-717,False,False
n01_normalized_projected_balanced_trial_15,general_guard_selection,False,False,general_032,,language,What is the past tense of go?,went,to go,False,False
