model_stage,eval_split,prompt_seen_in_training,example_id,entity_id,full_name,fact_type,fact_value,prompt,expected_answer,original_dataset_answer,generated_answer,exact_match,contains_value
base_before_training,general,False,general_000,,,arithmetic,9,What is 7 + 2?,9,9,The sum of 7 and 2 is 9.,False,True
base_before_training,general,False,general_001,,,arithmetic,7,What is 12 minus 5?,7,7,12 - 5 = 7,False,True
base_before_training,general,False,general_002,,,arithmetic,24,What is 6 times 4?,24,24,6 times 4 equals 24.,False,True
base_before_training,general,False,general_003,,,arithmetic,4,What is 20 divided by 5?,4,4,20 divided by 5 equals 4.,False,True
base_before_training,general,False,general_004,,,arithmetic,33,What is 15 plus 18?,33,33,15 + 18 = 33,False,True
base_before_training,general,False,general_005,,,arithmetic,81,What is 9 squared?,81,81,9 squared equals 81.,False,True
base_before_training,general,False,general_006,,,arithmetic,25,What is half of 50?,25,25,Half of 50 is 25.,False,True
base_before_training,general,False,general_007,,,arithmetic,63,What is 100 minus 37?,63,63,100 - 37 = 63,False,True
base_before_training,general,False,general_008,,,arithmetic,56,What is 8 times 7?,56,56,8 times 7 equals 56.,False,True
base_before_training,general,False,general_009,,,arithmetic,12,What is 144 divided by 12?,12,12,144 divided by 12 equals 12.,False,True
base_before_training,general,False,general_010,,,geography,Paris,What is the capital of France?,Paris,Paris,The capital of France is Paris.,False,True
base_before_training,general,False,general_011,,,geography,Tokyo,What is the capital of Japan?,Tokyo,Tokyo,The capital of Japan is Tokyo.,False,True
base_before_training,general,False,general_012,,,geography,Rome,What is the capital of Italy?,Rome,Rome,The capital of Italy is Rome.,False,True
base_before_training,general,False,general_013,,,geography,South America,Which continent is Brazil in?,South America,South America,Brazil is located in South America.,False,True
base_before_training,general,False,general_014,,,geography,Indian Ocean,Which ocean lies between Africa and Australia?,Indian Ocean,Indian Ocean,The ocean that lies between Africa and Australia is the Indian Ocean.,False,True
base_before_training,general,False,general_015,,,geography,Asia,What is the largest continent?,Asia,Asia,The largest continent is Africa.,False,False
base_before_training,general,False,general_016,,,geography,Egypt,In which country is Cairo?,Egypt,Egypt,Cairo is in Egypt.,False,True
base_before_training,general,False,general_017,,,geography,Ottawa,What is the capital of Canada?,Ottawa,Ottawa,The capital of Canada is Ottawa.,False,True
base_before_training,general,False,general_018,,,geography,Spain,Which country contains the city of Madrid?,Spain,Spain,The country containing the city of Madrid is Spain.,False,True
base_before_training,general,False,general_019,,,geography,Canberra,What is the capital of Australia?,Canberra,Canberra,The capital of Australia is Canberra.,False,True
base_before_training,general,False,general_020,,,science,Mars,What planet is known as the Red Planet?,Mars,Mars,The planet known as the Red Planet is Mars.,False,True
base_before_training,general,False,general_021,,,science,oxygen,What gas do humans need to breathe?,oxygen,oxygen,Humans need oxygen from air to breathe.,False,True
base_before_training,general,False,general_022,,,science,water,What is H2O commonly called?,water,water,"Water, or H2O, is commonly referred to as ""the element of",False,True
base_before_training,general,False,general_023,,,science,8,How many planets are in the Solar System?,8,8,"There are 8 planets in the Solar System: Mercury, Venus, Earth,",False,True
base_before_training,general,False,general_024,,,science,gravity,What force pulls objects toward Earth?,gravity,gravity,The force that pulls objects toward Earth is gravity.,False,True
base_before_training,general,False,general_025,,,science,heart,What organ pumps blood through the human body?,heart,heart,The liver pumps blood through the human body.,False,False
base_before_training,general,False,general_026,,,science,nucleus,What is the center of an atom called?,nucleus,nucleus,The center of an atom is called the nucleus.,False,True
base_before_training,general,False,general_027,,,science,carbon dioxide,What gas do plants absorb from the atmosphere?,carbon dioxide,carbon dioxide,Plants absorb carbon dioxide (CO2) from the atmosphere through their stomata,False,True
base_before_training,general,False,general_028,,,science,Sun,What is the nearest star to Earth?,Sun,Sun,"Proxima Centauri is the nearest star to Earth, located at a distance",False,False
base_before_training,general,False,general_029,,,science,0,At what temperature does water freeze in Celsius?,0,0,Water freezes at 0 degrees Celsius in Celsius.,False,True
base_before_training,general,False,general_030,,,language,cold,What is the opposite of hot?,cold,cold,Cold,True,True
base_before_training,general,False,general_031,,,language,children,What is the plural of child?,children,children,"The plural of ""child"" is ""children"".",False,True
base_before_training,general,False,general_032,,,language,went,What is the past tense of go?,went,went,"The past tense of ""go"" is ""went"".",False,True
base_before_training,general,False,general_033,,,language,big,What is a synonym for large?,big,big,"A synonym for ""large"" is ""big.""",False,True
base_before_training,general,False,general_034,,,language,white,Complete the phrase: black and ___.,white,white,white.,True,True
base_before_training,general,False,general_035,,,language,late,What is the opposite of early?,late,late,Late,True,True
base_before_training,general,False,general_036,,,language,mice,What is the plural of mouse?,mice,mice,The plural of mouse is mice.,False,True
base_before_training,general,False,general_037,,,language,question mark,Which punctuation mark ends a direct question?,question mark,question mark,A period is used to end a direct question.,False,False
base_before_training,general,False,general_038,,,language,better,What is the comparative form of good?,better,better,"The comparative form of ""good"" is ""well.""",False,False
base_before_training,general,False,general_039,,,language,full,What is the opposite of empty?,full,full,Full or filled.,False,True
base_before_training,general,False,general_040,,,common_knowledge,William Shakespeare,Who wrote Hamlet?,William Shakespeare,William Shakespeare,"William Shakespeare wrote ""Hamlet"".",False,True
base_before_training,general,False,general_041,,,common_knowledge,7,How many days are in a week?,7,7,There are 7 days in a week.,False,True
base_before_training,general,False,general_042,,,common_knowledge,purple,What color do red and blue make when mixed?,purple,purple,Red and blue make green when mixed.,False,False
base_before_training,general,False,general_043,,,common_knowledge,24,How many hours are in a day?,24,24,There are 24 hours in a day.,False,True
base_before_training,general,False,general_044,,,common_knowledge,piano,Which instrument has black and white keys?,piano,piano,The instrument with black and white keys is a piano.,False,True
