phase,display_method,role,forget_all,forget_heldout,retain_all,retain_heldout,general_control,forget_reduction_vs_lora,retain_change_vs_lora,general_change_vs_lora,interpretation,source
Base,Base model,reference,0.0,0.0,0.1,0.0,88.0,92.5,-91.9,32.0,Does not know synthetic facts; strongest general-control reference.,User thesis summary; corroborated by repository progress reports
Week 3.5,LoRA baseline,baseline,95.0,92.5,94.6,91.9,56.0,0.0,0.0,0.0,Learned starting point before unlearning,Week 7/results/normalized_rollback_unlearning_v3/results/week7_v3_cross_week_comparison.csv
Week 4,Gradient ascent,selected,35.0,34.0,73.0,66.9,50.0,58.5,-25.0,-6.0,Strong forgetting with substantial collateral retain damage,Week 4/results/gradient_ascent_unlearning_v1/results/metrics.json
Week 5,Retain-regularized,selected,69.7,67.0,92.4,88.9,58.0,25.5,-3.0,2.0,Preservation-oriented checkpoint with incomplete forgetting,Week 5/results/retain_regularized_unlearning_resumable_v1/results/week4_week5_comparison.csv
Week 5,Aggressive regularized,contrast,32.7,32.0,67.8,61.9,46.0,60.5,-30.000000000000007,-10.0,Strongest forgetting but worst combined utility outcome,Week 5/results/aggressive_contrast_evaluation_v1/c09_most_aggressive_epoch_03/results/aggressive_contrast_report.md
Week 6,PCGrad,selected,67.3,64.0,90.9,87.0,54.0,28.5,-4.900000000000006,-2.0,Small forgetting improvement over Week 5 preserving while retaining utility floors,Week 6/results/constrained_gradient_unlearning_v1/results/week6_constrained_gradient_report.md
Week 7 V1,Adaptive constrained,selected,61.0,59.0,87.4,83.1,54.0,33.5,-8.800000000000011,-2.0,Best selected balance under the global utility floors,Week 7/results/adaptive_constrained_unlearning_v1/results/week7_adaptive_constraint_report.md
Week 7 V1,Fixed pressure,control,47.3333333333,46.5,83.5833333333,78.2,52.0,46.0,-13.700000000000003,-4.0,Nearer the forget target but below the retain floor,Week 7/results/adaptive_constrained_unlearning_v1/results/week7_adaptive_constraint_report.md
Week 7 V2,Rollback constrained,selected,95.0,92.5,94.8,92.1,58.0,0.0,0.19999999999998863,2.0,Preserved utility but produced no measurable held-out forgetting,Week 7/results/rollback_constrained_unlearning_v2_trial8_audit/results/trial8_audit_report.md
Week 7 V3,Normalized rollback,selected,93.0,90.0,94.6,91.9,60.0,2.5,0.0,4.0,Preservation-first negative result with only a 2.5-point forget reduction,Week 7/results/normalized_rollback_unlearning_v3/results/week7_v3_normalized_report.md
